company,category,domain,logo_url,website,note,emphasis
GitHub,Source Control & Review,github.com,,https://github.com,,
GitLab,Source Control & Review,gitlab.com,,https://gitlab.com,,
Bitbucket,Source Control & Review,bitbucket.org,,https://bitbucket.org,,
Graphite,Source Control & Review,graphite.dev,,https://graphite.dev,Series B,
Gerrit,Source Control & Review,gerritcodereview.com,,https://gerritcodereview.com,Open source,
Radicle,Source Control & Review,radicle.xyz,,https://radicle.xyz,Open source,
CircleCI,CI / CD,circleci.com,,https://circleci.com,,
Buildkite,CI / CD,buildkite.com,,https://buildkite.com,,
Harness,CI / CD,harness.io,,https://harness.io,,
Argo,CI / CD,argoproj.github.io,,https://argoproj.github.io,Open source,
Depot,CI / CD,depot.dev,,https://depot.dev,Seed,
Earthly,CI / CD,earthly.dev,,https://earthly.dev,,
Dagger,CI / CD,dagger.io,,https://dagger.io,,
Datadog,Observability,datadoghq.com,,https://datadoghq.com,Public,
Grafana,Observability,grafana.com,,https://grafana.com,,
Honeycomb,Observability,honeycomb.io,,https://honeycomb.io,,
Sentry,Observability,sentry.io,,https://sentry.io,,
Chronosphere,Observability,chronosphere.io,,https://chronosphere.io,,
Axiom,Observability,axiom.co,,https://axiom.co,Seed,
New Relic,Observability,newrelic.com,,https://newrelic.com,Take-private,
Coder,Developer Environments,coder.com,,https://coder.com,,
Gitpod,Developer Environments,gitpod.io,,https://gitpod.io,,
Daytona,Developer Environments,daytona.io,,https://daytona.io,,
Namespace,Developer Environments,namespace.so,,https://namespace.so,Seed,
DevPod,Developer Environments,devpod.sh,,https://devpod.sh,Open source,
Snyk,Security & Compliance,snyk.io,,https://snyk.io,,
Semgrep,Security & Compliance,semgrep.dev,,https://semgrep.dev,,
Socket,Security & Compliance,socket.dev,,https://socket.dev,,
Chainguard,Security & Compliance,chainguard.dev,,https://chainguard.dev,,
Vanta,Security & Compliance,vanta.com,,https://vanta.com,,
Endor Labs,Security & Compliance,endorlabs.com,,https://endorlabs.com,,
dbt Labs,Data & Analytics Tooling,getdbt.com,,https://getdbt.com,,
Fivetran,Data & Analytics Tooling,fivetran.com,,https://fivetran.com,,
Airbyte,Data & Analytics Tooling,airbyte.com,,https://airbyte.com,,
Dagster,Data & Analytics Tooling,dagster.io,,https://dagster.io,,
Prefect,Data & Analytics Tooling,prefect.io,,https://prefect.io,,
Metabase,Data & Analytics Tooling,metabase.com,,https://metabase.com,,
Claude Code,AI Coding Assistants,claude.com,,https://claude.com/claude-code,,TRUE
GitHub Copilot,AI Coding Assistants,github.com,,https://github.com/features/copilot,,
Cursor,AI Coding Assistants,cursor.com,,https://cursor.com,,
Codeium,AI Coding Assistants,codeium.com,,https://codeium.com,,
Sourcegraph,AI Coding Assistants,sourcegraph.com,,https://sourcegraph.com,,
Tabnine,AI Coding Assistants,tabnine.com,,https://tabnine.com,,
Replit,AI Coding Assistants,replit.com,,https://replit.com,,
Augment,AI Coding Assistants,augmentcode.com,,https://augmentcode.com,,
Windsurf,AI Coding Assistants,windsurf.com,,https://windsurf.com,,
JFrog,Package & Artifact Registries,jfrog.com,,https://jfrog.com,Public,
Cloudsmith,Package & Artifact Registries,cloudsmith.io,,https://cloudsmith.io,,
npm,Package & Artifact Registries,npmjs.com,,https://npmjs.com,,
Buf,Package & Artifact Registries,buf.build,,https://buf.build,,
